"","date","exchange","price"
"1","X01.11.2021","binance",60911.11
"2","X02.11.2021","binance",63219.99
"3","X03.11.2021","binance",62896.48
"4","X04.11.2021","binance",61395.01
"5","X05.11.2021","binance",60937.12
"6","X06.11.2021","binance",61470.61
"7","X07.11.2021","binance",63273.59
"8","X08.11.2021","binance",67525.83
"9","X09.11.2021","bitstamp",66945.72
"10","X10.11.2021","binance",64882.43
"11","X11.11.2021","binance",64774.26
"12","X12.11.2021","binance",64122.23
"13","X13.11.2021","binance",64380
"14","X14.11.2021","binance-us",65512.69
"15","X15.11.2021","binance",63606.74
"16","X16.11.2021","binance",60058.87
"17","X17.11.2021","binance",60344.87
"18","X18.11.2021","ftx-us",56897
"19","X19.11.2021","binance",58052.24
"20","X20.11.2021","binance",59707.51
"21","X21.11.2021","binance",58622.02
"22","X22.11.2021","binance",56247.18
"23","X23.11.2021","binance",57541.27
"24","X24.11.2021","binance",57138.29
"25","X25.11.2021","binance",58960.36
"26","X26.11.2021","liquid",53743
"27","X27.11.2021","binance",54721.03
"28","X28.11.2021","binance",57274.88
"29","X29.11.2021","binance",57776.25
"30","X30.11.2021","bitflyer",56956.09
"31","X01.12.2021","cexio",57201.5
"32","X02.12.2021","cexio",56513.6
"33","X03.12.2021","cexio",53631.8
"34","X04.12.2021","bitstamp",49234.97
"35","X05.12.2021","bittrex",49460.972
"36","X06.12.2021","bitfinex",50513
"37","X07.12.2021","bitflyer",50606.69
"38","X08.12.2021","binance",50471.19
"39","X09.12.2021","bittrex",47566.047
"40","X10.12.2021","bitstamp",47142.42
"41","X11.12.2021","binance",49389.99
"42","X12.12.2021","okcoin",50084.13
"43","X13.12.2021","ftx-us",46711
"44","X14.12.2021","bittrex",48359.539
"45","X15.12.2021","binance-us",48874.24
"46","X16.12.2021","binance",47632.38
"47","X17.12.2021","binance",46131.2
"48","X18.12.2021","binance",46834.48
"49","X19.12.2021","binance",46681.23
"50","X20.12.2021","binance",46914.16
"51","X21.12.2021","bittrex",48908.523
"52","X22.12.2021","bittrex",48599.24
"53","X23.12.2021","binance",50838.81
"54","X24.12.2021","binance",50820
"55","X25.12.2021","binance",50399.66
"56","X26.12.2021","binance",50775.49
"57","X27.12.2021","binance",50701.44
"58","X28.12.2021","bitstamp",47543.3
"59","X29.12.2021","binance",46464.66
"60","X30.12.2021","binance",47120.87
"61","X31.12.2021","bitflyer",46215.44
"62","X01.01.2022","bitflyer",47730.18
"63","X02.01.2022","binance",47286.18
"64","X03.01.2022","binance",46446.1
"65","X04.01.2022","binance-us",45830.46
"66","X05.01.2022","ftx",43444
"67","X06.01.2022","binance",43082.31
"68","X07.01.2022","coinbase-pro",41565.18
"69","X08.01.2022","binance",41679.74
"70","X09.01.2022","binance",41864.62
"71","X10.01.2022","binance",41822.49
"72","X11.01.2022","gateio",42734
"73","X12.01.2022","bitfinex",43909
"74","X13.01.2022","binance",42560.11
"75","X14.01.2022","gemini",43083.71
"76","X15.01.2022","binance",43084.29
"77","X16.01.2022","gateio",43098.81
"78","X17.01.2022","binance",42201.62
"79","X18.01.2022","gateio",42360.92
"80","X19.01.2022","binance-us",41670.85
"81","X20.01.2022","coinbase-pro",40670.97
"82","X21.01.2022","binance",36445.31
"83","X22.01.2022","binance",35071.42
"84","X23.01.2022","okcoin",36266.38
"85","X24.01.2022","binance-us",36681.29
"86","X25.01.2022","cexio",36966.8
"87","X26.01.2022","gateio",36824.73
"88","X27.01.2022","binance-us",37185.89
"89","X28.01.2022","binance",37716.56
"90","X29.01.2022","binance",38166.84
"91","X30.01.2022","liquid",37896.27
"92","X31.01.2022","bitflyer",38482.26
"93","X01.02.2022","bitfinex",38713
"94","X02.02.2022","kraken",36903.3
"95","X03.02.2022","binance",37311.61
"96","X04.02.2022","binance",41574.25
"97","X05.02.2022","binance",41382.59
"98","X06.02.2022","binance",42380.87
"99","X07.02.2022","gateio",43841.76
"100","X08.02.2022","binance",44042.99
"101","X09.02.2022","binance-us",44412.03
"102","X10.02.2022","binance",43495.44
"103","X11.02.2022","binance",42373.73
"104","X12.02.2022","binance",42217.87
